timestamp,equity,drawdown_pct
2026-01-26T21:49:00+00:00,100375.0,0.0
2026-01-26T22:44:00+00:00,100125.0,0.2491
2026-01-26T22:01:00+00:00,99875.0,0.4981
2026-01-26T21:59:00+00:00,100250.0,0.1245
2026-01-26T22:13:00+00:00,100625.0,0.0
2026-01-26T22:42:00+00:00,101000.0,0.0
2026-01-26T22:25:00+00:00,101375.0,0.0
2026-01-26T22:54:00+00:00,101750.0,0.0
2026-01-26T22:55:00+00:00,102125.0,0.0
2026-01-26T23:02:00+00:00,101875.0,0.2448
2026-01-26T22:24:00+00:00,102250.0,0.0
2026-01-26T22:55:00+00:00,102000.0,0.2445
2026-01-26T22:54:00+00:00,102375.0,0.0
2026-01-26T22:57:00+00:00,102750.0,0.0
2026-01-26T22:59:00+00:00,103125.0,0.0
2026-01-26T22:45:00+00:00,103500.0,0.0
2026-01-26T22:42:00+00:00,103875.0,0.0
2026-01-26T22:54:00+00:00,104250.0,0.0
2026-01-26T22:44:00+00:00,104000.0,0.2398
2026-01-26T23:39:00+00:00,103750.0,0.4796
2026-01-26T22:52:00+00:00,103500.0,0.7194
2026-01-26T23:20:00+00:00,103250.0,0.9592
2026-01-26T23:25:00+00:00,103625.0,0.5995
2026-01-26T22:58:00+00:00,104000.0,0.2398
2026-01-26T23:15:00+00:00,104375.0,0.0
2026-01-26T23:58:00+00:00,104750.0,0.0
2026-01-26T23:56:00+00:00,104500.0,0.2387
2026-01-26T23:39:00+00:00,104250.0,0.4773
2026-01-27T00:03:00+00:00,104625.0,0.1193
2026-01-26T23:46:00+00:00,105000.0,0.0
2026-01-27T00:04:00+00:00,105375.0,0.0
2026-01-27T00:09:00+00:00,105750.0,0.0
2026-01-27T00:03:00+00:00,106125.0,0.0
2026-01-27T00:02:00+00:00,106500.0,0.0
2026-01-27T00:09:00+00:00,106875.0,0.0
2026-01-26T23:52:00+00:00,107250.0,0.0
2026-01-27T00:30:00+00:00,107625.0,0.0
2026-01-26T23:56:00+00:00,107375.0,0.2323
2026-01-27T00:25:00+00:00,107750.0,0.0
2026-01-27T00:24:00+00:00,108125.0,0.0
2026-01-27T01:22:00+00:00,107875.0,0.2312
2026-01-27T01:54:00+00:00,108250.0,0.0
2026-01-27T01:41:00+00:00,108000.0,0.2309
2026-01-27T01:40:00+00:00,107750.0,0.4619
2026-01-27T01:33:00+00:00,108125.0,0.1155
2026-01-27T01:38:00+00:00,108500.0,0.0
2026-01-27T01:29:00+00:00,108875.0,0.0
2026-01-27T01:51:00+00:00,109250.0,0.0
2026-01-27T01:51:00+00:00,109625.0,0.0
2026-01-27T02:01:00+00:00,110000.0,0.0
2026-01-27T02:14:00+00:00,109750.0,0.2273
2026-01-27T01:56:00+00:00,110125.0,0.0
2026-01-27T02:20:00+00:00,110500.0,0.0
2026-01-27T02:01:00+00:00,110875.0,0.0
2026-01-27T02:19:00+00:00,111250.0,0.0
2026-01-27T02:43:00+00:00,111625.0,0.0
2026-01-27T02:48:00+00:00,111375.0,0.224
2026-01-27T02:20:00+00:00,111125.0,0.4479
2026-01-27T02:17:00+00:00,111500.0,0.112
2026-01-27T02:21:00+00:00,111875.0,0.0
