timestamp,equity,drawdown_pct
2026-01-30T04:38:00+00:00,100375.0,0.0
2026-01-30T04:42:00+00:00,100125.0,0.2491
2026-01-30T04:52:00+00:00,99875.0,0.4981
2026-01-30T05:34:00+00:00,100250.0,0.1245
2026-01-30T05:11:00+00:00,100000.0,0.3736
2026-01-30T04:54:00+00:00,99750.0,0.6227
2026-01-30T05:08:00+00:00,99500.0,0.8717
2026-01-30T05:28:00+00:00,99250.0,1.1208
2026-01-30T05:20:00+00:00,99625.0,0.7472
2026-01-30T05:00:00+00:00,100000.0,0.3736
2026-01-30T05:39:00+00:00,100375.0,0.0
2026-01-30T05:33:00+00:00,100125.0,0.2491
2026-01-30T05:45:00+00:00,100500.0,0.0
2026-01-30T06:03:00+00:00,100875.0,0.0
2026-01-30T05:52:00+00:00,100625.0,0.2478
2026-01-30T06:04:00+00:00,101000.0,0.0
2026-01-30T05:36:00+00:00,100750.0,0.2475
2026-01-30T05:28:00+00:00,100500.0,0.495
2026-01-30T05:39:00+00:00,100875.0,0.1238
2026-01-30T05:35:00+00:00,101250.0,0.0
2026-01-30T05:56:00+00:00,101000.0,0.2469
2026-01-30T05:51:00+00:00,101375.0,0.0
2026-01-30T06:10:00+00:00,101125.0,0.2466
2026-01-30T05:54:00+00:00,101500.0,0.0
2026-01-30T06:23:00+00:00,101875.0,0.0
2026-01-30T06:35:00+00:00,101625.0,0.2454
2026-01-30T06:20:00+00:00,102000.0,0.0
2026-01-30T06:24:00+00:00,102375.0,0.0
2026-01-30T06:09:00+00:00,102750.0,0.0
2026-01-30T06:32:00+00:00,102500.0,0.2433
2026-01-30T06:21:00+00:00,102250.0,0.4866
2026-01-30T06:26:00+00:00,102625.0,0.1217
2026-01-30T06:49:00+00:00,103000.0,0.0
2026-01-30T06:52:00+00:00,103375.0,0.0
2026-01-30T06:41:00+00:00,103750.0,0.0
2026-01-30T06:39:00+00:00,104125.0,0.0
2026-01-30T06:54:00+00:00,104500.0,0.0
2026-01-30T07:11:00+00:00,104875.0,0.0
2026-01-30T06:26:00+00:00,105250.0,0.0
2026-01-30T06:49:00+00:00,105625.0,0.0
2026-01-30T07:20:00+00:00,105375.0,0.2367
2026-01-30T07:08:00+00:00,105750.0,0.0
2026-01-30T06:50:00+00:00,106125.0,0.0
2026-01-30T06:52:00+00:00,106500.0,0.0
2026-01-30T06:54:00+00:00,106875.0,0.0
2026-01-30T07:26:00+00:00,107250.0,0.0
2026-01-30T07:35:00+00:00,107625.0,0.0
