timestamp_entry,timestamp_exit,symbol,timeframe,mode,opportunity_id,side,qty,entry_price,exit_price,sl,tp,retcode,slippage,holding_time_sec,pnl,pnl_pct,pyramid_seq
2026-01-28T15:37:00+00:00,2026-01-28T15:42:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281537,BEARISH,1.0,5265.89,5255.09,5273.09,5255.09,10009_DONE,0.21,2131,375.0,0.0037,
2026-01-28T15:40:00+00:00,2026-01-28T16:23:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281540,BEARISH,1.0,5265.0,5272.57,5272.57,5253.64,10009_DONE,0.7,3236,-250.0,-0.0025,
2026-01-28T15:43:00+00:00,2026-01-28T16:33:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281543,BEARISH,1.0,5263.24,5249.59,5272.34,5249.59,10009_DONE,0.12,1133,375.0,0.0037,
2026-01-28T15:46:00+00:00,2026-01-28T16:28:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281546,BEARISH,1.0,5265.18,5249.92,5275.35,5249.92,10009_DONE,0.52,3598,375.0,0.0037,
2026-01-28T15:49:00+00:00,2026-01-28T16:43:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281549,BEARISH,1.0,5266.2,5251.98,5275.68,5251.98,10009_DONE,0.74,2672,375.0,0.0037,
2026-01-28T15:52:00+00:00,2026-01-28T16:21:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281552,BEARISH,1.0,5265.37,5252.53,5273.93,5252.53,10009_DONE,0.41,1243,375.0,0.0037,
2026-01-28T15:55:00+00:00,2026-01-28T16:52:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281555,BEARISH,1.0,5266.14,5274.36,5274.36,5253.81,10009_DONE,0.18,1082,-250.0,-0.0025,
2026-01-28T15:58:00+00:00,2026-01-28T16:11:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281558,BEARISH,1.0,5265.74,5272.76,5272.76,5255.21,10009_DONE,0.6,3018,-250.0,-0.0025,
2026-01-28T16:01:00+00:00,2026-01-28T16:34:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281601,BEARISH,1.0,5263.03,5253.25,5269.55,5253.25,10009_DONE,0.18,2145,375.0,0.0037,
2026-01-28T16:04:00+00:00,2026-01-28T16:47:00+00:00,XAUUSD,M1,scalp,OPP_XAUUSD_M1_202601281604,BEARISH,1.0,5260.74,5249.88,5267.98,5249.88,10009_DONE,0.36,2950,375.0,0.0037,
